phid,name,division,state,party,ceased_date,house
HJ4,James Snow,Eden-Monaro,NSW,ALP,1996-03-02,reps
JF4,Bob Chynoweth,Dunkley,Vic,ALP,1996-03-02,reps
JH4,Gary Johns,Petrie,Qld,ALP,1996-03-02,reps
JMI,Rodney Atkinson,Isaacs,Vic,LIB,1996-03-02,reps
JV5,Silvia Smith,Bass,Tas,ALP,1996-03-02,reps
KF4,Peter Cleeland,McEwen,Vic,ALP,1996-03-02,reps
LG4,Michael Lavarch,Dickson,Qld,ALP,1996-03-02,reps
LV5,Maggie Deahm,Macquarie,NSW,ALP,1996-03-02,reps
OE4,Julian Beale,Bruce,Vic,LIB,1996-03-02,reps
OG4,Eamon Lindsay,Herbert,Qld,ALP,1996-03-02,reps
QG4,George Gear,Canning,WA,ALP,1996-03-02,reps
RE4,Gordon Bilney,Kingston,SA,ALP,1996-03-02,reps
RJ4,Robert Tickner,Hughes,NSW,ALP,1996-03-02,reps
RU5,Mary Easson,Lowe,NSW,ALP,1996-03-02,reps
ST4,Garrie Gibson,Moreton,Qld,ALP,1996-03-02,reps
WF4,Mary Crawford,Forde,Qld,ALP,1996-03-02,reps
ZU5,Marjorie Henzell,Capricornia,Qld,ALP,1996-03-02,reps
1G4,John Devereux,,Tas,IND,1996-02-07,senate
0F4,Ray Braithwaite,Dawson,Qld,NPA,1996-01-29,reps
0H4,Alan Griffiths,Maribyrnong,Vic,ALP,1996-01-29,reps
2E4,Bruce Lloyd,Murray,Vic,NPA,1996-01-29,reps
2H4,Steele Hall,,SA,LIB,1996-01-29,senate
3G4,James Dobie,Cook,NSW,LIB,1996-01-29,reps
6G4,Michael Duffy,Holt,Vic,ALP,1996-01-29,reps
AT4,Ted Mack,North Sydney,NSW,IND,1996-01-29,reps
EH4,Brian Howe,Batman,Vic,ALP,1996-01-29,reps
FG4,Eric Fitzgibbon,Hunter,NSW,ALP,1996-01-29,reps
FH4,Benjamin Humphreys,Griffith,Qld,ALP,1996-01-29,reps
FJ4,David Simmons,Calare,NSW,ALP,1996-01-29,reps
KD4,Kenneth Aldred,Deakin,Vic,LIB,1996-01-29,reps
KJ4,Peter Staples,Jagajaga,Vic,ALP,1996-01-29,reps
QF4,David Connolly,Bradfield,NSW,LIB,1996-01-29,reps
SI4,Gary Punch,Barton,NSW,ALP,1996-01-29,reps
TU5,Christopher Haviland,Macarthur,NSW,ALP,1996-01-29,reps
WD4,Wendy Fatin,Brand,WA,ALP,1996-01-29,reps
YG4,Russell Gorman,Greenway,NSW,ALP,1996-01-29,reps
ZH4,Jeannette Mchugh,Grayndler,NSW,ALP,1996-01-29,reps
TF4,John Coulter,,SA,AD ,1995-11-20,senate
BS4,Stephen Loosley,,NSW,ALP,1995-05-21,senate
FE4,Alice Zakharov,,Vic,ALP,1995-03-06,senate
9H4,John Hewson,Wentworth,NSW,LIB,1995-02-28,reps
OH4,Roslyn Kelly,Canberra,ACT,ALP,1995-01-30,reps
MI4,Andrew Peacock,Kooyong,Vic,LIB,1994-09-17,reps
4E4,Graham Richardson,,NSW,ALP,1994-03-25,senate
0I4,Michael Mackellar,Warringah,NSW,LIB,1994-02-18,reps
VE4,Neal Blewett,Bonython,SA,ALP,1994-02-11,reps
9E4,John Dawkins,Fremantle,WA,ALP,1994-02-04,reps
EJ4,Kerry Sibraa,,NSW,ALP,1994-02-01,senate
IE4,Brian Archer,,Tas,LIB,1994-01-31,senate
DF4,Jim Carlton,Mackellar,NSW,LIB,1994-01-14,reps
QH4,John Kerin,Werriwa,NSW,ALP,1993-12-22,reps
NJ4,Michael Tate,,Tas,ALP,1993-07-05,senate
7I4,Graham Maguire,,SA,ALP,1993-06-30,senate
8G4,Peter Durack,,WA,LIB,1993-06-30,senate
JE4,Terrence Aulich,,Tas,ALP,1993-06-30,senate
ND4,Florence Bjelke-petersen,,Qld,NPA,1993-06-30,senate
NG4,Austin Lewis,,Vic,LIB,1993-06-30,senate
OI4,Janet Powell,,Vic,IND,1993-06-30,senate
TJ4,Peter Walsh,,WA,ALP,1993-06-30,senate
UJ4,Shirley Walters,,Tas,LIB,1993-06-30,senate
VC5,Karin Sowada,,NSW,AD ,1993-06-30,senate
XG4,Patricia Giles,,WA,ALP,1993-06-30,senate
4F4,John Button,,Vic,ALP,1993-03-31,senate
0E4,Carolyn Jakobsen,Cowan,WA,ALP,1993-03-13,reps
2K4,Keith Wright,Capricornia,Qld,IND,1993-03-13,reps
AG4,Ronald Edwards,Stirling,WA,ALP,1993-03-13,reps
NT4,Bob Catley,Adelaide,SA,ALP,1993-03-13,reps
RT4,Frank Ford,Dunkley,Vic,LIB,1993-03-13,reps
TT4,Rob Hulls,Kennedy,Qld,ALP,1993-03-13,reps
UF4,Brian Courtice,Hinkler,Qld,ALP,1993-03-13,reps
WJ4,Alasdair Webster,Macquarie,NSW,LIB,1993-03-13,reps
WT4,John Riggall,McMillan,Vic,LIB,1993-03-13,reps
0K4,Ian Wilson,Sturt,SA,LIB,1993-02-08,reps
3F4,Maxwell Burr,Lyons,Tas,LIB,1993-02-08,reps
5G4,Stephen Dubois,St George,NSW,ALP,1993-02-08,reps
5H4,Gerry Hand,Melbourne,Vic,ALP,1993-02-08,reps
5J4,Gordon Scholes,Corio,Vic,ALP,1993-02-08,reps
7J4,John Scott,Hindmarsh,SA,ALP,1993-02-08,reps
9G4,Harry Edwards,Berowra,NSW,LIB,1993-02-08,reps
9J4,Peter Shack,Tangney,WA,LIB,1993-02-08,reps
AF4,Ewen Cameron,Indi,Vic,LIB,1993-02-08,reps
CG4,Wal Fife,Hume,NSW,LIB,1993-02-08,reps
DE4,Lloyd O'neil,Grey,SA,ALP,1993-02-08,reps
EF4,Frederick Chaney,,WA,LIB,1993-02-08,senate
EG4,Peter Fisher,Mallee,Vic,NPA,1993-02-08,reps
PG4,John Gayler,Leichhardt,Qld,ALP,1993-02-08,reps
TD4,Richard Charlesworth,Perth,WA,ALP,1993-02-08,reps
UD4,Elaine Darling,Lilley,Qld,ALP,1993-02-08,reps
VF4,David Cowan,Lyne,NSW,NPA,1993-02-08,reps
XD4,Bruce Goodluck,Franklin,Tas,LIB,1993-02-08,reps
XJ4,Stewart West,Cunningham,NSW,ALP,1993-02-08,reps
DU4,John Olsen,,SA,LIB,1992-05-04,senate
YD4,Robert Hawke,Wills,Vic,ALP,1992-02-20,reps
IG4,Josephine Vallentine,,WA,GRN,1992-01-31,senate
3I4,Paul Mclean,,NSW,AD ,1991-08-23,senate
PD4,Neil Brown,Menzies,Vic,LIB,1991-02-25,reps
ME4,Peter Baume,,NSW,LIB,1991-01-28,senate
2I4,Michael Macklin,,Qld,AD ,1990-06-30,senate
3K4,Irina Dunn,,NSW,IND,1990-06-30,senate
4H4,David Hamer,,Vic,LIB,1990-06-30,senate
BJ4,Glenister Sheil,,Qld,NPA,1990-06-30,senate
GI4,John Morris,,NSW,ALP,1990-06-30,senate
IH4,Jean Jenkins,,WA,AD ,1990-06-30,senate
JUI,Arthur Devlin,,Tas,ALP,1990-06-30,senate
TE4,John Black,,Qld,ALP,1990-06-30,senate
TI4,Chris Puplick,,NSW,LIB,1990-06-30,senate
9I4,Tony Messner,,SA,LIB,1990-04-17,senate
1F4,John Brumby,Bendigo,Vic,ALP,1990-03-24,reps
2J4,John Saunderson,Aston,Vic,ALP,1990-03-24,reps
7H4,Elizabeth Harvey,Hawker,SA,ALP,1990-03-24,reps
9F4,Donald Cameron,Moreton,Qld,LIB,1990-03-24,reps
AI4,John Mildren,Ballarat,Vic,ALP,1990-03-24,reps
DI4,Peter Milton,La Trobe,Vic,ALP,1990-03-24,reps
JG4,Antony Lamb,Streeton,Vic,ALP,1990-03-24,reps
JJ4,John Spender,North Sydney,NSW,LIB,1990-03-24,reps
PH4,Lewis Kent,Hotham,Vic,ALP,1990-03-24,reps
PI4,Michael Pratt,Adelaide,SA,LIB,1990-03-24,reps
UE4,Cecil Blanchard,Moore,WA,ALP,1990-03-24,reps
WE4,Charles Blunt,Richmond,NSW,NPA,1990-03-24,reps
YI4,Ian Robinson,Page,NSW,NPA,1990-03-24,reps
1H4,Janine Haines,,SA,AD ,1990-03-01,senate
1J4,Norman Sanders,,Tas,AD ,1990-03-01,senate
LJ4,John Stone,,Qld,NPA,1990-03-01,senate
1V5,Robert Katter,Kennedy,Qld,NPA,1990-02-19,reps
6I4,Ian Macphee,Goldstein,Vic,LIB,1990-02-19,reps
BF4,Ian Cameron,Maranoa,Qld,NPA,1990-02-19,reps
CI4,Clarrie Millar,Wide Bay,Qld,NPA,1990-02-19,reps
CJ4,Roger Shipton,Higgins,Vic,LIB,1990-02-19,reps
EE4,Tom Uren,Reid,NSW,ALP,1990-02-19,reps
GF4,David Charles,Isaacs,Vic,ALP,1990-02-19,reps
HF4,Joan Child,Henty,Vic,ALP,1990-02-19,reps
ID4,Albert Adermann,Fairfax,Qld,NPA,1990-02-19,reps
JVD,John Mountford,Banks,NSW,ALP,1990-02-19,reps
NF4,Barry Cohen,Robertson,NSW,ALP,1990-02-19,reps
NI4,James Porter,Barker,SA,LIB,1990-02-19,reps
OD4,John Brown,Parramatta,NSW,ALP,1990-02-19,reps
SH4,Richard Klugman,Prospect,NSW,ALP,1990-02-19,reps
YF4,Manfred Cross,Brisbane,Qld,ALP,1990-02-19,reps
YJ4,Peter White,McPherson,Qld,LIB,1990-02-19,reps
ZE4,Lionel Bowen,Kingsford Smith,NSW,ALP,1990-02-19,reps
RG4,Arthur Gietzelt,,NSW,ALP,1989-02-27,senate
GH4,Ralph Hunt,Gwydir,NSW,NPA,1989-02-24,reps
RK4,William Hayden,Oxley,Qld,ALP,1988-08-17,reps
KBS,William Wood,,NSW,NDP ,1988-05-12,senate
JUS,Tom Mcveigh,Groom,Qld,NPA,1988-02-29,reps
EV4,Michael Young,Port Adelaide,SA,ALP,1988-02-08,reps
GD5,Susan Ryan,,ACT,ALP,1988-01-29,senate
AV4,Chris Hurford,Adelaide,SA,ALP,1987-12-31,reps
00ATA,John Hodges,Petrie,Qld,LIB,1987-07-11,reps
BV4,Michael Hodgman,Denison,Tas,LIB,1987-07-11,reps
GP4,Michael Maher,Lowe,NSW,ALP,1987-07-11,reps
K17,Bryan Conquest,Hinkler,Qld,NPA,1987-07-11,reps
KAO,David Watson,Forde,Qld,LIB,1987-07-11,reps
KOH,Helen Mayer,Chisholm,Vic,ALP,1987-07-11,reps
2U4,John Carrick,,NSW,LIB,1987-06-05,senate
4V4,Peter Coleman,Wentworth,NSW,LIB,1987-06-05,reps
5V4,Ruth Coleman,,WA,ALP,1987-06-05,senate
7R5,Paul Everingham,Northern Territory,NT,LIB,1987-06-05,reps
7V4,George Georges,,Qld,IND,1987-06-05,senate
C7D,Margaret Guilfoyle,,Vic,LIB,1987-06-05,senate
CV4,Ralph Jacobi,Hawker,SA,ALP,1987-06-05,reps
DV4,Reginald Withers,,WA,LIB,1987-06-05,senate
EVL,John Siddons,,Vic,UNITE AP,1987-06-05,senate
JYI,Ronald Elstob,,SA,ALP,1987-06-05,senate
K2U,Edward Robertson,,NT,ALP,1987-06-05,senate
K7H,Stanley Collard,,Qld,NPA,1987-06-05,senate
K8R,Michael Townley,,Tas,LIB,1987-06-05,senate
KA8,David Vigor,,SA,AD ,1987-06-05,senate
KCT,Peter Drummond,Forrest,WA,LIB,1987-06-05,reps
KEI,Leonard Keogh,Bowman,Qld,ALP,1987-06-05,reps
KKD,Donald Jessop,,SA,LIB,1987-06-05,senate
KPO,Bernard Kilgariff,,NT,LIB,1987-06-05,senate
KTJ,Gordon Mcintosh,,WA,ALP,1987-06-05,senate
L8O,Colin Mason,,NSW,AD ,1987-06-05,senate
9V4,Donald Grimes,,Tas,ALP,1987-04-02,senate
KTA,Douglas Mcclelland,,NSW,ALP,1987-01-23,senate
3V4,Don Chipp,,Vic,AD ,1986-08-18,senate
KUU,Alan Missen,,Vic,LIB,1986-03-30,senate
CAK,Peter Rae,,Tas,LIB,1986-01-16,senate
DRW,Henry Jenkins,Scullin,Vic,ALP,1985-12-20,reps
JYL,Jack Evans,,WA,AD ,1985-06-30,senate
K1M,Cyril Primmer,,Vic,ALP,1985-06-30,senate
K5H,Douglas Scott,,NSW,NPA,1985-06-30,senate
KOM,Jean Hearn,,Tas,ALP,1985-06-30,senate
KQD,Milivoj Lajovic,,NSW,LIB,1985-06-30,senate
1B6,Deane Wells,Petrie,Qld,ALP,1984-12-01,reps
KIK,Stephen Lusher,Hume,NSW,NPA,1984-12-01,reps
KYP,John Reeves,Northern Territory,NT,ALP,1984-12-01,reps
PI5,Alan Steedman,Casey,Vic,ALP,1984-12-01,reps
009DB,William Morrison,St George,NSW,ALP,1984-10-26,reps
JVV,Kevin Newman,Bass,Tas,LIB,1984-10-26,reps
JXQ,Kenneth Fry,Fraser,ACT,ALP,1984-10-26,reps
K5A,Frank O'keefe,Paterson,NSW,NPA,1984-10-26,reps
KDP,Douglas Everingham,Capricornia,Qld,ALP,1984-10-26,reps
QK5,Raymond Groom,Braddon,Tas,LIB,1984-10-26,reps
BU4,John Anthony,Richmond,NSW,NPA,1984-01-18,reps
KVM,Anthony Street,Corangamite,Vic,LIB,1984-01-18,reps
K9M,Leslie Johnson,Hughes,NSW,ALP,1983-12-19,reps
4U4,Denis Killen,Moreton,Qld,LIB,1983-08-15,reps
DQF,Billy Snedden,Bruce,Vic,LIB,1983-04-21,reps
QS4,Malcolm Fraser,Wannon,Vic,LIB,1983-03-31,reps
0V4,Neville Bonner,,Qld,IND,1983-03-05,senate
9W4,John Hyde,Moore,WA,LIB,1983-03-05,reps
EE6,Ian Viner,Stirling,WA,LIB,1983-03-05,reps
JPG,Reginald Birney,Phillip,NSW,LIB,1983-03-05,reps
JRD,John Bourchier,Bendigo,Vic,LIB,1983-03-05,reps
JRU,James Bradfield,Barton,NSW,LIB,1983-03-05,reps
JT9,Melville Bungey,Canning,WA,LIB,1983-03-05,reps
K8H,Andrew Thomas,,WA,LIB,1983-03-05,senate
KCE,Arthur Dean,Herbert,Qld,LIB,1983-03-05,reps
KEO,Peter Falconer,Casey,Vic,LIB,1983-03-05,reps
KJU,Alan Jarman,Deakin,Vic,LIB,1983-03-05,reps
KKT,Alexander Mackenzie,Calare,NSW,NPA,1983-03-05,reps
KNA,John Martyr,,WA,LIB,1983-03-05,senate
KNK,Graham Harris,Chisholm,Vic,LIB,1983-03-05,reps
KRR,Ross Mclean,Perth,WA,LIB,1983-03-05,reps
KVY,David Thomson,Leichhardt,Qld,NPA,1983-03-05,reps
L0J,Murray Sainsbury,Eden-Monaro,NSW,LIB,1983-03-05,reps
009OD,Peter Nixon,Gippsland,Vic,NPA,1983-02-04,reps
JM9,John Armitage,Chifley,NSW,ALP,1983-02-04,reps
JNG,Moses Cass,Maribyrnong,Vic,ALP,1983-02-04,reps
KB8,Geoffrey Giles,Wakefield,SA,LIB,1983-02-04,reps
KBY,Harold Young,,SA,LIB,1983-02-04,senate
KDV,Charles Jones,Newcastle,NSW,ALP,1983-02-04,reps
KJA,Urquhart Innes,Melbourne,Vic,ALP,1983-02-04,reps
KPG,James Keeffe,,Qld,ALP,1983-02-04,senate
KSF,Les Mcmahon,Sydney,NSW,ALP,1983-02-04,reps
KTZ,Geoffrey Mclaren,,SA,ALP,1983-02-04,senate
KVK,James Mulvihill,,NSW,ALP,1983-02-04,senate
KWZ,Laurie Wallis,Grey,SA,ALP,1983-02-04,reps
KIM,Phillip Lynch,Flinders,Vic,LIB,1982-10-22,reps
009MA,Billy Mcmahon,Lowe,NSW,LIB,1982-01-04,reps
CJO,John Wheeldon,,WA,ALP,1981-06-30,senate
JTT,Gordon Davidson,,SA,LIB,1981-06-30,senate
JXG,Laurence Neal,,Vic,NCP ,1981-06-30,senate
JYA,Justin O'byrne,,Tas,ALP,1981-06-30,senate
K1Y,Reginald Bishop,,SA,ALP,1981-06-30,senate
K69,Peter Sim,,WA,LIB,1981-06-30,senate
K6F,James Cavanagh,,SA,ALP,1981-06-30,senate
KQN,Condor Laucke,,SA,LIB,1981-06-30,senate
KSW,Charles Maunsell,,Qld,NCP ,1981-06-30,senate
KSY,Ronald Mcauliffe,,Qld,ALP,1981-06-30,senate
KUJ,Jean Melzer,,Vic,ALP,1981-06-30,senate
KPV,John Knight,,ACT,LIB,1981-03-04,senate
YF6,Robert Ellicott,Wentworth,NSW,LIB,1981-02-17,reps
K9L,Ransley Garland,Curtin,WA,LIB,1981-01-22,reps
KSB,John Mcleay,Boothby,SA,LIB,1981-01-22,reps
KZL,Eric Robinson,McPherson,Qld,LIB,1981-01-07,reps
JNO,Marshall Baillieu,La Trobe,Vic,LIB,1980-10-18,reps
JTM,William Burns,Isaacs,Vic,LIB,1980-10-18,reps
JTS,Kevin Cairns,Lilley,Qld,LIB,1980-10-18,reps
JVS,Maurice Neil,St George,NSW,LIB,1980-10-18,reps
K6U,John Cotter,Kalgoorlie,WA,LIB,1980-10-18,reps
K9O,Peter Johnson,Brisbane,Qld,LIB,1980-10-18,reps
K9V,James Johnston,Hotham,Vic,LIB,1980-10-18,reps
KBE,Reginald Gillard,Macquarie,NSW,LIB,1980-10-18,reps
KOB,John Haslem,Canberra,ACT,LIB,1980-10-18,reps
KRM,Barry Simon,McMillan,Vic,LIB,1980-10-18,reps
L1V,William Yates,Holt,Vic,LIB,1980-10-18,reps
ISW,Kenneth Wriedt,,Tas,ALP,1980-09-25,senate
2V4,Clyde Cameron,Hindmarsh,SA,ALP,1980-09-19,reps
GY5,Anthony Staley,Chisholm,Vic,LIB,1980-09-19,reps
JSU,Gordon Bryant,Wills,Vic,ALP,1980-09-19,reps
JTW,Stephen Calder,Northern Territory,NT,NCP ,1980-09-19,reps
K5O,James Corbett,Maranoa,Qld,NCP ,1980-09-19,reps
K9J,Leonard Johnson,Burke,Vic,ALP,1980-09-19,reps
KCQ,Bruce Graham,North Sydney,NSW,LIB,1980-09-19,reps
KFB,John Fitzpatrick,Riverina,NSW,ALP,1980-09-19,reps
KIH,Philip Lucock,Lyne,NSW,NCP ,1980-09-19,reps
KJO,Albert James,Hunter,NSW,ALP,1980-09-19,reps
KN9,Vincent Martin,Banks,NSW,ALP,1980-09-19,reps
KAS,James Webster,,Vic,NCP ,1980-01-28,senate
